artist_id,date,royalties,instagram_followers,twitter_followers,track_release,sentiment,mentions_followers,num_posts,num_comments,mean_royalties_6m,std_instagram_followers_6m,growth_twitter_followers,growth_instagram_followers,sum_track_releases_6m,mean_sentiment_3m,sum_mentions_followers_3m,month
436lvfnz,7/1/2022,94291.905,5250688,643908,1,0.649122807,26326461,3,57,94291.905,0,0,0,1,0.649122807,26326461,7
436lvfnz,8/1/2022,90967.3,5283706,647332,0,0.493087558,26326461,7,217,92629.6025,23347.2517,3424,33018,1,0.571105182,52652922,8
436lvfnz,9/1/2022,96849.325,5316966,648728,1,0.703296703,0,5,91,94036.17667,33139.07363,1396,33260,2,0.615169023,52652922,9
436lvfnz,10/1/2022,94944.18,5346661,649390,0,0.548611111,50734,5,144,94263.1775,41478.03735,662,29695,2,0.581665124,26377195,10
436lvfnz,11/1/2022,93308.9,5403544,649732,1,0.557553957,26326461,10,278,94072.322,58780.37927,342,56883,3,0.603153924,26377195,11
436lvfnz,12/1/2022,186213.945,5478276,647940,1,0.614100186,0,14,539,109429.2592,83203.51325,-1792,74732,4,0.573421751,26377195,12
436lvfnz,1/1/2023,160005.74,5548104,647409,0,0.627906977,0,5,215,120381.565,101244.5239,-531,69828,3,0.599853706,26326461,1
436lvfnz,2/1/2023,128653.1,5599439,647383,0,0.692556634,143762358,8,309,126662.5317,112501.4717,-26,51335,3,0.644854599,143762358,2
436lvfnz,3/1/2023,146203.385,5641829,647096,0,0.651869159,1910490,10,428,134888.2083,114501.5233,-287,42390,2,0.657444257,145672848,3
436lvfnz,4/1/2023,146357.23,5705811,645120,1,0.608200456,0,11,439,143457.05,110238.7327,-1976,63982,3,0.650875416,145672848,4
436lvfnz,5/1/2023,126572.58,5754942,644070,0,0.623978202,2129506,8,367,149000.9967,101700.6345,-1050,49131,2,0.628015939,4039996,5
436lvfnz,6/1/2023,133059.76,5794507,642680,1,0.554347826,0,3,92,140141.9658,94371.11459,-1390,39565,2,0.595508828,2129506,6
436lvfnz,7/1/2023,122561.84,5813337,640066,0,0.466063348,1516794,10,221,133901.3158,85221.94548,-2614,18830,2,0.548129792,3646300,7
436lvfnz,8/1/2023,142243.155,5838782,639443,1,0.429752066,148486,8,363,136166.325,73687.41719,-623,25445,3,0.483387747,1665280,8
436lvfnz,9/1/2023,136571.275,5854833,639084,1,0.656716418,0,1,67,134560.9733,55466.3002,-359,16051,4,0.517510611,1665280,9
436lvfnz,10/1/2023,142272.94,5862239,639084,0,0.598930481,9712901,8,187,133880.2583,40686.01295,0,7406,3,0.561799655,9861387,10
436lvfnz,11/1/2023,153414.38,5862121,638608,1,0.497757848,0,5,223,138353.8917,28115.56508,-476,-118,4,0.584468249,9712901,11
436lvfnz,12/1/2023,148127.335,5862839,638608,0,0.430894309,0,5,123,140865.1542,19744.50235,0,718,3,0.509194213,9712901,12
436lvfnz,1/1/2024,143258.555,5859715,638388,1,0.717213115,0,7,244,144314.6067,9288.354869,-220,-3124,4,0.548621757,0,1
436lvfnz,2/1/2024,157493.235,5863435,639069,1,0.565495208,9536296,6,313,146856.2867,3214.79397,681,3720,4,0.571200877,9536296,2
436lvfnz,3/1/2024,153736.895,5863358,639049,1,0.570719603,144812611,9,403,149717.2233,1372.199366,-20,-77,4,0.617809308,154348907,3
436lvfnz,4/1/2024,139264.59,5863944,638229,1,0.723893805,4770126,16,565,149215.8317,1528.530101,-820,586,5,0.620036205,159119033,4
436lvfnz,5/1/2024,148547.975,5868722,638110,1,0.637010676,39872,8,281,148404.7642,2901.135186,-119,4778,5,0.643874695,149622609,5
436lvfnz,6/1/2024,124839.905,5875264,638205,1,0.486910995,23301348,4,191,144523.5258,5479.271655,95,6542,6,0.615938492,28111346,6
436lvfnz,7/1/2024,125718.215,5922482,638205,0,0.603846154,4770126,6,260,141600.1358,23138.24464,0,47218,5,0.575922608,28111346,7
436lvfnz,8/1/2024,120548.985,5925145,637952,0,0.804347826,112236,5,276,135442.7608,29239.59447,-253,2663,4,0.631701658,28183710,8
436lvfnz,9/1/2024,113795.075,5919051,638813,1,0.572614108,36076,6,241,128785.7908,29269.13433,861,-6094,4,0.660269363,4918438,9
436lvfnz,10/1/2024,175379.405,5916085,638966,1,0.573878628,4770126,11,758,134804.9267,25417.75228,153,-2966,4,0.650280187,4918438,10
436lvfnz,11/1/2024,183934.195,5918496,638056,1,0.667655786,10082297,16,1011,140702.63,18640.75803,-910,2411,4,0.604716174,14888499,11
436lvfnz,12/1/2024,146253.945,5913606,637245,1,0.711191336,7715504,5,277,144271.6367,4185.922189,-811,-4890,4,0.650908583,22567927,12
436lvfnz,1/1/2025,160610.26,5905372,637128,1,0.595903166,0,11,537,150086.9775,6593.165393,-117,-8234,5,0.658250096,17797801,1
436lvfnz,2/1/2025,163727.04,5896913,637017,1,0.318681319,7715504,19,819,157283.32,8737.350203,-111,-8459,6,0.541925273,15431008,2
436lvfnz,3/1/2025,158299.7,5892735,636955,1,0.517302573,7715504,23,1127,164700.7575,10639.35944,-62,-4178,6,0.477295686,15431008,3
5jwhbt0o,9/1/2022,33109.895,10871345,4300816,1,0.611111111,0,4,18,33109.895,0,0,0,1,0.611111111,0,9
5jwhbt0o,10/1/2022,28901.55,10961360,4300421,1,0.442105263,0,7,95,31005.7225,63650.21691,-395,90015,2,0.526608187,0,10
5jwhbt0o,11/1/2022,32172.85,11025419,4301756,0,0.568181818,0,7,176,31394.765,77400.53099,1335,64059,2,0.540466064,0,11
5jwhbt0o,12/1/2022,30148.325,11168846,4300216,0,0.611111111,0,3,144,31083.155,125191.0682,-1540,143427,2,0.540466064,0,12
5jwhbt0o,1/1/2023,26697.59,11351521,4299532,0,0.681372549,0,5,204,30206.042,188491.4998,-684,182675,2,0.620221826,0,1
5jwhbt0o,2/1/2023,24911.515,11484924,4297996,0,0.550724638,0,4,207,29323.62083,237348.2581,-1536,133403,2,0.614402766,0,2
5jwhbt0o,3/1/2023,26313.76,11676363,4294942,1,0.620037807,3184958,16,529,28190.93167,276726.7875,-3054,191439,2,0.617378331,3184958,3
5jwhbt0o,4/1/2023,29423.47,11853881,4285343,0,0.643137255,85815,4,255,28277.91833,310281.217,-9599,177518,1,0.604633233,3270773,4
5jwhbt0o,5/1/2023,26023.095,12002861,4282784,1,0.603286385,7847070,11,426,27252.95917,313952.0401,-2559,148980,2,0.622153816,11117843,5
5jwhbt0o,6/1/2023,28265.855,12151746,4273087,0,0.517571885,947598,10,313,26939.21417,306766.1704,-9697,148885,2,0.587998508,8880483,6
5jwhbt0o,7/1/2023,22607.19,12249784,4258552,0,0.389344262,0,2,244,26257.48083,290058.6414,-14535,98038,2,0.503400844,8794668,7
5jwhbt0o,8/1/2023,19969.4,12366502,4251844,0,0.475655431,2133384,4,267,25433.795,257188.0833,-6708,116718,2,0.460857193,3080982,8
5jwhbt0o,9/1/2023,17266.46,12471510,4245940,0,0.478947368,0,2,190,23925.91167,229397.8221,-5904,105008,1,0.447982354,2133384,9
5jwhbt0o,10/1/2023,18864.01,12555797,4245940,0,0.473958333,85,6,192,22166.00167,205942.8279,0,84287,1,0.476187044,2133469,10
5jwhbt0o,11/1/2023,17639.075,12587896,4283662,0,0.596774194,0,5,186,20768.665,173182.8277,37722,32099,0,0.516559965,85,11
5jwhbt0o,12/1/2023,16573.74,12615385,4283662,0,0.496551724,0,7,435,18819.97917,142468.3996,0,27489,0,0.522428084,85,12
5jwhbt0o,1/1/2024,15904.6,12615487,4283228,1,0.522862823,0,9,503,17702.88083,98581.80025,-434,102,1,0.53872958,0,1
5jwhbt0o,2/1/2024,18301.91,12614885,4280813,0,0.56568779,25593,13,647,17424.96583,56720.6849,-2415,-602,1,0.528367446,25593,2
5jwhbt0o,3/1/2024,19394.515,12607901,4277535,1,0.408071749,0,4,223,17779.64167,23915.58869,-3278,-6984,2,0.498874121,25593,3
5jwhbt0o,4/1/2024,15580.44,12568020,4268552,0,0.675675676,0,4,222,17232.38,19567.75267,-8983,-39881,2,0.549811738,25593,4
5jwhbt0o,5/1/2024,16542.535,12529651,4261176,0,0.588957055,0,6,163,17049.62333,35601.75721,-7376,-38369,2,0.55756816,0,5
5jwhbt0o,6/1/2024,13298.045,12498151,4256808,0,0.621621622,0,1,148,16503.67417,49560.76209,-4368,-31500,2,0.628751451,0,6
5jwhbt0o,7/1/2024,13136.74,12479016,4256808,1,0.556122449,0,3,196,16042.36417,56617.1306,0,-19135,2,0.588900375,0,7
5jwhbt0o,8/1/2024,14276.37,12459924,4241942,0,0.419354839,0,2,93,15371.44083,56224.97471,-14866,-19092,2,0.532366303,0,8
5jwhbt0o,9/1/2024,11851.815,12446665,4240637,0,0.737430168,0,0,179,14114.32417,45481.56668,-1305,-13259,1,0.570969152,0,9
5jwhbt0o,10/1/2024,14145.055,12435540,4236492,0,0.704678363,10517,4,342,13875.09333,35002.55321,-4145,-11125,1,0.62048779,10517,10
5jwhbt0o,11/1/2024,11978.04,12419537,4225323,0,0.672862454,0,4,269,13114.34417,28829.87124,-11169,-16003,1,0.704990328,10517,11
5jwhbt0o,12/1/2024,11503.49,12522023,4218036,0,0.756410256,0,1,78,12815.25167,36388.50162,-7287,102486,1,0.711317024,10517,12
5jwhbt0o,1/1/2025,12818.655,12402277,4214049,0,0.475247525,0,1,101,12762.2375,41662.13077,-3987,-119746,0,0.634840078,0,1
5jwhbt0o,2/1/2025,11886.305,12373635,4206444,0,0.657894737,0,0,76,12363.89333,50531.51087,-7605,-28642,0,0.629850839,0,2
